BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,BE6,BE6_points,BE6_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
Sterling Shepard,11.5,11.01,Kareem Hunt,15.0,9.87,Michael Badgley,8.0,7.43,Jaylen Samuels,6.4,7.3,Gerald Everett,0.0,0.0,,,,Patriots D/ST,4.0,5.86,Devonta Freeman,8.4,12.65,Wil Lutz,17.0,7.41,Drew Brees,11.26,18.79,Kenyan Drake,6.1,11.22,Josh Jacobs,10.4,15.98,Kyle Rudolph,13.0,7.8,Chris Godwin,7.0,14.59,DJ Moore,16.2,12.67,Team(Juicy Smooyay),93.36,Team(I need Moore points),13
David Johnson,3.4,5.77,Curtis Samuel,14.5,9.17,Tom Brady,24.34,17.65,Josh Gordon,1.5,5.61,Derrius Guice,26.7,7.77,,,,49ers D/ST,5.0,5.12,Darius Slayton,7.4,10.58,Ka'imi Fairbairn,4.0,7.33,Daniel Jones,8.2,18.34,Derrick Henry,22.1,15.46,Le'Veon Bell,8.7,15.35,Darren Waller,13.5,10.03,Tyreek Hill,7.6,16.75,Amari Cooper,12.5,12.07,Team(I need Moore points),89.0,Team(Juicy Smooyay),13
Robert Woods,23.7,10.86,Will Fuller V,1.3,10.08,DeVante Parker,31.4,10.6,Tyler Eifert,1.7,5.04,Jeff Driskel,0.0,0.0,,,,Saints D/ST,15.0,7.27,Miles Sanders,19.0,14.93,Zane Gonzalez,1.0,8.2,Patrick Mahomes,19.5,22.67,Phillip Lindsay,7.7,13.05,Devin Singletary,17.6,10.7,Austin Hooper,0.0,0.0,DJ Chark Jr.,5.7,13.61,Jarvis Landry,10.6,11.81,Team(253 💁🏻‍♂️),96.1,Team(Yoon  Pooned),13
JuJu Smith-Schuster,0.0,0.0,Adam Thielen,0.0,0.0,Damien Williams,0.0,0.0,Carson Wentz,24.4,19.03,Harrison Butker,10.0,8.95,,,,Jaguars D/ST,6.0,5.88,Tyler Lockett,0.0,12.86,Stephen Hauschka,8.0,6.38,Lamar Jackson,22.3,22.16,Ezekiel Elliott,17.2,18.67,Tevin Coleman,2.0,13.0,Jacob Hollister,7.4,7.31,John Brown,9.22,11.42,Marvin Jones Jr.,11.5,9.86,Team(Yoon  Pooned),83.62,Team(253 💁🏻‍♂️),13
Deshaun Watson,28.36,16.67,James White,33.7,10.25,Jordan Howard,0.0,0.0,Tyrell Williams,1.4,9.05,Mohamed Sanu Sr.,2.9,8.55,,,,Browns D/ST,3.0,5.68,LeSean McCoy,10.5,11.38,Austin Seibert,7.0,8.27,Russell Wilson,16.9,20.63,Saquon Barkley,13.0,17.75,Leonard Fournette,13.6,18.27,Greg Olsen,3.7,8.14,Mike Evans,7.3,14.98,Calvin Ridley,13.1,12.04,Team(DK's Left Calf),88.1,Team(Carroll’s  A Coward),13
Evan Engram,0.0,0.0,Christian Kirk,3.8,10.94,Golden Tate,0.0,0.0,Marquise Brown,0.6,8.47,Royce Freeman,4.4,6.63,,,,Eagles D/ST,-1.0,7.58,Melvin Gordon,12.0,12.44,Brett Maher,-1.0,9.08,Dak Prescott,22.7,18.63,Dalvin Cook,11.9,18.92,Aaron Jones,5.1,14.33,Jack Doyle,16.3,6.67,Odell Beckham Jr.,4.4,11.3,DK Metcalf,8.5,10.61,Team(Carroll’s  A Coward),78.9,Team(DK's Left Calf),13
James Conner,0.0,0.0,A.J. Green,0.0,0.0,Jimmy Graham,2.1,6.31,Adrian Peterson,15.9,6.42,Chris Thompson,3.4,4.77,,,,Bears D/ST,3.0,8.88,Brandin Cooks,3.4,9.61,Justin Tucker,9.0,9.56,Josh Allen,23.54,18.63,Peyton Barber,18.4,6.47,Frank Gore,3.0,4.96,Travis Kelce,11.5,13.96,Tyler Boyd,14.4,10.35,Michael Gallup,7.8,9.69,Team(2 Girls 1 Kupp),94.04,Team(OJ is my  GM),13
Kyler Murray,13.32,19.75,Bills D/ST,8.0,4.44,Sony Michel,4.5,10.23,Duke Johnson,17.5,7.21,Bo Scarbrough,8.3,9.08,,,,Panthers D/ST,5.0,8.05,Keenan Allen,15.8,10.79,Josh Lambo,5.0,9.2,Aaron Rodgers,28.12,18.37,Chris Carson,17.4,14.59,Ronald Jones II,0.8,11.86,Jared Cook,10.0,9.18,Kenny Golladay,23.8,10.49,Cooper Kupp,15.5,12.01,Team(OJ is my  GM),121.42,Team(2 Girls 1 Kupp),13
Alshon Jeffery,24.2,10.58,Matt Breida,0.0,0.0,Kirk Cousins,17.04,17.17,Benny Snell Jr.,13.2,9.43,Russell Gage,13.7,8.24,,,,Ravens D/ST,7.0,5.85,Austin Ekeler,14.7,10.63,Younghoe Koo,7.0,7.14,Sam Darnold,10.46,15.52,Nick Chubb,8.4,16.85,Jonathan Williams,3.0,12.64,Ryan Griffin,5.5,5.18,Julio Jones,0.0,0.0,DeAndre Hopkins,13.14,12.85,Team(Poop AUTO),69.2,Team(Post Mahomes),13
Marlon Mack,0.0,0.0,T.Y. Hilton,0.0,0.0,Courtland Sutton,21.4,10.88,Latavius Murray,0.2,7.21,Dallas Goedert,9.6,6.56,Baker Mayfield,8.04,14.38,Seahawks D/ST,5.0,4.93,Jamison Crowder,1.8,10.19,Matt Prater,8.0,6.62,Ryan Tannehill,13.78,15.35,Christian McCaffrey,13.7,25.41,Tarik Cohen,5.5,10.21,George Kittle,2.4,14.48,Julian Edelman,18.9,14.05,,,,Team(Post Mahomes),69.08,Team(Poop AUTO),13
