BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,D/ST,D/ST_points,D/ST_proj_points,FLEX,FLEX_points,FLEX_proj_points,K,K_points,K_proj_points,QB,QB_points,QB_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,opp,points,team,wk
Patrick Mahomes,0.0,0.0,Miles Sanders,21.3,7.67,Will Fuller V,0.0,0.0,Devin Singletary,12.9,7.73,Saints D/ST,9.0,7.09,Rams D/ST,5.0,8.17,Marquez Valdes-Scantling,0.9,8.42,Joey Slye,4.0,7.75,Philip Rivers,10.04,14.57,Phillip Lindsay,10.1,11.65,Tarik Cohen,6.1,9.64,Austin Hooper,15.5,10.17,Robert Woods,5.2,9.76,DJ Chark Jr.,16.9,10.69,Team(Juicy Smooyay),73.74,Team(Yoon  Pooned),8
David Johnson,0.0,0.0,Amari Cooper,0.0,0.0,Curtis Samuel,6.6,9.19,Tom Brady,18.36,17.5,DeSean Jackson,0.0,0.0,49ers D/ST,18.0,6.07,Dede Westbrook,0.0,9.8,Mike Nugent,7.0,8.13,Aaron Rodgers,27.1,19.12,Derrick Henry,6.8,15.34,Royce Freeman,11.0,10.32,Darren Waller,8.1,12.61,Tyreek Hill,11.1,12.53,Kenny Stills,3.7,10.25,Team(Yoon  Pooned),92.8,Team(Juicy Smooyay),8
Deshaun Watson,27.76,22.33,Calvin Ridley,11.0,8.77,Jordan Howard,17.6,9.87,DeVante Parker,8.9,7.85,Mohamed Sanu Sr.,3.3,8.63,Vikings D/ST,13.0,6.05,James White,9.9,11.16,Robbie Gould,9.0,9.83,Russell Wilson,15.68,22.14,Saquon Barkley,24.3,17.61,Leonard Fournette,17.1,17.83,Greg Olsen,2.3,7.42,Mike Evans,37.3,13.07,Tyrell Williams,16.6,11.45,Team(253 💁🏻‍♂️),145.18,Team(Carroll’s  A Coward),8
Ezekiel Elliott,0.0,0.0,JuJu Smith-Schuster,18.8,10.56,Adam Thielen,0.0,0.0,Lamar Jackson,0.0,0.0,Chris Herndon,0.0,0.0,Lions D/ST,10.0,7.85,John Brown,7.9,11.01,Harrison Butker,5.0,6.19,Carson Wentz,14.38,14.83,Damien Williams,9.0,7.46,Tevin Coleman,36.8,14.13,T.J. Hockenson,2.6,6.81,Tyler Lockett,13.0,12.02,Marvin Jones Jr.,4.2,11.34,Team(Carroll’s  A Coward),102.88,Team(253 💁🏻‍♂️),8
A.J. Green,0.0,0.0,Peyton Barber,3.3,7.05,Justin Tucker,0.0,0.0,Michael Gallup,0.0,0.0,Adrian Peterson,11.3,10.66,Bears D/ST,6.0,6.31,Frank Gore,3.4,9.45,Matt Gay,10.0,8.53,Josh Allen,17.26,20.21,James Conner,22.5,17.52,Nick Chubb,10.3,14.92,Jimmy Graham,3.5,7.77,Brandin Cooks,0.0,10.12,Tyler Boyd,9.8,11.46,Team(DK's Left Calf),82.76,Team(OJ is my  GM),8
Christian Kirk,13.8,9.24,Dak Prescott,0.0,0.0,Ronald Jones II,5.7,7.23,Golden Tate,12.5,10.52,Chiefs D/ST,3.0,3.82,Seahawks D/ST,2.0,5.03,Melvin Gordon,10.4,12.08,Ka'imi Fairbairn,10.0,7.33,Ryan Tannehill,19.42,15.22,Dalvin Cook,25.6,21.75,Aaron Jones,38.1,15.64,Evan Engram,12.0,10.9,Odell Beckham Jr.,7.7,10.76,DK Metcalf,14.8,8.97,Team(OJ is my  GM),140.02,Team(DK's Left Calf),8
Matt Breida,5.5,9.74,LeSean McCoy,6.3,10.99,Jared Goff,22.88,16.6,Chris Thompson,0.0,0.0,Alex Erickson,12.7,7.6,Colts D/ST,8.0,9.3,DeAndre Hopkins,16.4,14.48,Mason Crosby,7.0,6.88,Kirk Cousins,11.6,16.03,Austin Ekeler,9.2,12.11,Chase Edmonds,2.3,13.18,Travis Kelce,14.3,10.58,Julio Jones,20.2,13.16,Alshon Jeffery,8.4,10.26,Team(2 Girls 1 Kupp),97.4,Team(Post Mahomes),8
Keenan Allen,8.8,8.72,Rashaad Penny,5.5,6.05,Bills D/ST,3.0,7.25,Robby Anderson,6.3,8.91,Jared Cook,0.0,0.0,Titans D/ST,10.0,7.44,Sony Michel,7.4,13.35,Josh Lambo,12.0,9.43,Kyler Murray,10.1,18.89,Le'Veon Bell,5.0,14.5,Chris Carson,15.0,18.02,Darren Fells,20.8,4.89,Kenny Golladay,25.3,13.0,Cooper Kupp,31.5,11.93,Team(Post Mahomes),137.1,Team(2 Girls 1 Kupp),8
Mark Ingram II,0.0,0.0,Mike Williams,8.4,9.41,Mark Andrews,0.0,0.0,Jameis Winston,19.34,17.44,Panthers D/ST,1.0,6.02,Jaguars D/ST,17.0,7.77,Terry McLaurin,5.9,10.45,Greg Zuerlein,6.0,9.65,Matthew Stafford,23.38,19.44,Todd Gurley II,10.4,16.28,Jamaal Williams,17.1,9.57,Zach Ertz,3.0,9.98,Michael Thomas,21.8,18.26,Allen Robinson II,8.7,10.79,Team(Poop AUTO),113.28,Team(Silent Banggoo),8
Jarvis Landry,9.0,9.2,Gerald Everett,2.5,8.33,Auden Tate,9.0,8.18,Teddy Bridgewater,-0.2,0.14,Latavius Murray,32.2,17.52,Texans D/ST,-1.0,4.34,Courtland Sutton,8.7,11.09,Matt Prater,8.0,9.33,Jacoby Brissett,9.48,15.51,Christian McCaffrey,25.5,20.3,Marlon Mack,15.5,13.35,George Kittle,11.6,11.62,Julian Edelman,23.5,12.28,T.Y. Hilton,6.4,11.33,Team(Silent Banggoo),107.68,Team(Poop AUTO),8
