team,points,QB,WR1,WR1_points,WR1_proj_points,WR2,WR2_points,WR2_proj_points,RB1,RB1_points,RB1_proj_points,RB2,RB2_points,RB2_proj_points,TE,TE_points,TE_proj_points,FLEX,FLEX_points,FLEX_proj_points,D/ST,D/ST_points,D/ST_proj_points,K,K_points,K_proj_points,BE1,BE1_points,BE1_proj_points,BE2,BE2_points,BE2_proj_points,BE3,BE3_points,BE3_proj_points,BE4,BE4_points,BE4_proj_points,BE5,BE5_points,BE5_proj_points,wk,opp,QB_points,QB_proj_points
Team(Kingdom DooDoo),115.28,Patrick Mahomes,Mike Evans,19.9,14.84,T.Y. Hilton,4.3,10.68,David Johnson,6.0,14.54,Leonard Fournette,25.6,7.38,Darren Waller,22.3,10.62,Parris Campbell,0.7,9.2,Saints D/ST,3.0,6.8,Chris Boswell,6.0,8.0,Rob Gronkowski,0.0,7.38,Preston Williams,5.1,8.89,Breshad Perriman,2.2,8.88,Derek Carr,21.58,15.01,Myles Gaskin,11.2,7.14,2,Team(Yoon  Pooned),27.48,20.61
Team(Yoon  Pooned),78.18,Carson Wentz,Keenan Allen,13.1,10.57,Will Fuller V,0.0,10.88,Derrick Henry,8.4,20.29,Chris Carson,18.3,12.28,Jimmy Graham,2.3,6.64,Marquise Brown,6.7,10.64,Titans D/ST,0.0,5.95,Younghoe Koo,17.0,7.54,George Kittle,0.0,0.0,Devin Singletary,8.6,10.07,Diontae Johnson,19.2,9.85,Robby Anderson,13.4,9.56,Ben Roethlisberger,18.24,15.78,2,Team(Kingdom DooDoo),12.38,17.55
Team(Carroll’s  A Coward),98.66,Lamar Jackson,Amari Cooper,13.0,13.04,Calvin Ridley,26.4,11.95,Saquon Barkley,2.8,18.16,Ronald Jones II,9.7,12.2,T.J. Hockenson,8.2,7.21,Brandin Cooks,12.0,8.28,Browns D/ST,3.0,7.08,Josh Lambo,6.0,7.87,Deshaun Watson,14.7,19.87,N'Keal Harry,11.2,8.0,Colts D/ST,17.0,5.94,Sammy Watkins,1.6,8.09,Frank Gore,6.3,6.98,2,Team(I need Moore points),17.56,23.34
Team(I need Moore points),66.48,Drew Brees,Tyreek Hill,19.3,13.07,Emmanuel Sanders,2.3,10.64,Josh Jacobs,12.0,14.71,Todd Gurley II,6.1,12.77,Mark Andrews,3.4,11.73,Nyheim Hines,0.9,8.79,49ers D/ST,6.0,8.49,Matt Prater,2.0,8.03,Cooper Kupp,10.5,11.09,Jarvis Landry,6.1,10.51,J.K. Dobbins,6.6,6.91,John Brown,16.2,9.09,Joe Burrow,24.54,16.17,2,Team(Carroll’s  A Coward),14.48,18.44
Team(OJ is my  GM),103.02,Russell Wilson,Allen Robinson II,4.8,12.92,Courtland Sutton,8.1,10.01,Clyde Edwards-Helaire,10.0,14.98,Kenyan Drake,10.5,14.86,Evan Engram,9.5,7.95,Antonio Gibson,11.7,8.23,Broncos D/ST,2.0,4.69,Zane Gonzalez,13.0,7.83,James White,0.0,0.0,Christian Kirk,7.0,8.78,Darius Slayton,4.8,9.35,DeSean Jackson,9.4,8.41,Curtis Samuel,4.9,8.78,2,Team(Post Mahomes),33.42,18.23
Team(Post Mahomes),141.6,Aaron Rodgers,Terry McLaurin,22.0,11.45,Julian Edelman,21.9,10.33,Austin Ekeler,16.8,13.76,James Robinson,19.5,9.85,Dallas Goedert,5.0,7.82,Mark Ingram II,14.7,9.06,Ravens D/ST,15.0,6.5,Robbie Gould,8.0,7.8,Michael Thomas,0.0,0.0,James Conner,19.1,12.25,Le'Veon Bell,0.0,0.0,Phillip Lindsay,0.0,0.0,Hayden Hurst,15.7,7.26,2,Team(OJ is my  GM),18.7,18.04
Team(Catch 22),127.54,Kyler Murray,DK Metcalf,17.2,9.7,Brandon Aiyuk,3.1,6.32,Christian McCaffrey,22.8,19.39,Raheem Mostert,17.7,13.85,Travis Kelce,19.5,12.88,Corey Davis,11.1,9.06,Seahawks D/ST,-2.0,7.11,Wil Lutz,6.0,8.26,Chris Godwin,0.0,0.0,Kerryon Johnson,9.2,5.52,Jamison Crowder,0.0,0.0,Cam Newton,34.58,17.51,Patriots D/ST,4.0,5.65,2,Team(DK's Left Calf),32.14,20.4
Team(DK's Left Calf),93.76,Matthew Stafford,JuJu Smith-Schuster,8.3,11.17,DJ Chark Jr.,10.4,10.59,Joe Mixon,10.6,13.79,Melvin Gordon III,15.4,12.43,Jared Cook,8.3,8.79,Miles Sanders,18.6,14.14,Chiefs D/ST,-1.0,6.67,Jake Elliott,7.0,7.42,David Montgomery,20.2,11.05,Marvin Jones Jr.,10.3,12.18,Zack Moss,3.7,8.44,Mike Williams,2.4,8.67,Daniel Jones,7.74,15.13,2,Team(Catch 22),16.16,17.79
Team(2 Girls 1 Kupp),99.62,Matt Ryan,Julio Jones,3.4,14.83,Michael Gallup,6.8,11.28,Dalvin Cook,16.1,16.65,Peyton Barber,0.1,7.91,Hunter Henry,11.3,8.74,A.J. Green,4.4,11.41,Steelers D/ST,13.0,7.88,Justin Tucker,16.0,8.48,Kenny Golladay,0.0,0.0,Cam Akers,1.3,7.73,A.J. Brown,0.0,0.0,Tevin Coleman,5.0,6.07,Sony Michel,1.9,5.85,2,Team(EBDB BnB),28.52,18.39
Team(EBDB BnB),153.5,Dak Prescott,DeAndre Hopkins,16.8,13.81,Adam Thielen,4.6,12.87,Ezekiel Elliott,19.2,19.3,Kareem Hunt,23.1,11.76,Noah Fant,15.7,7.1,Robert Woods,10.3,11.75,Buccaneers D/ST,11.0,7.16,Harrison Butker,13.0,8.67,Tarik Cohen,3.2,9.04,Jerry Jeudy,8.2,7.77,Alexander Mattison,2.1,5.46,Chase Edmonds,2.8,5.36,Joshua Kelley,12.3,7.49,2,Team(2 Girls 1 Kupp),39.8,20.37
